Negara,Tanggal,Varian,N_Positif
Germany,2021-10-04,Mu,0
Germany,2021-10-04,Omicron,0
Germany,2021-10-18,Alpha,1
Germany,2021-10-18,Beta,0
Germany,2021-10-18,Gamma,1
Germany,2021-10-18,Mu,0
Germany,2021-10-18,Omicron,0
Germany,2021-11-01,Alpha,0
Germany,2021-11-01,Beta,0
Germany,2021-11-01,Gamma,0
Germany,2021-11-01,Mu,0
Germany,2021-11-01,Omicron,0
Germany,2021-11-15,Alpha,3
Germany,2021-11-15,Beta,3
Germany,2021-11-15,Gamma,0
Germany,2021-11-15,Mu,0
Germany,2021-11-15,Omicron,0
Germany,2021-11-29,Alpha,0
Germany,2021-11-29,Beta,1
Germany,2021-11-29,Gamma,0
Germany,2021-11-29,Mu,0
Germany,2021-11-29,Omicron,34
Germany,2021-12-13,Alpha,1
Germany,2021-12-13,Beta,0
Germany,2021-12-13,Gamma,0
Germany,2021-12-13,Mu,0
Germany,2021-12-13,Omicron,535
Germany,2021-12-27,Alpha,1
Germany,2021-12-27,Beta,0
Germany,2021-12-27,Gamma,0
Germany,2021-12-27,Mu,0
Germany,2021-12-27,Omicron,1701
Indonesia,2020-05-11,Alpha,0
Indonesia,2020-05-11,Beta,0
Indonesia,2020-05-11,Gamma,0
Indonesia,2020-05-11,Mu,0
Indonesia,2020-05-11,Omicron,0
Indonesia,2020-05-25,Alpha,0
Indonesia,2020-05-25,Beta,0
Indonesia,2020-05-25,Gamma,0
Indonesia,2020-05-25,Mu,0
Indonesia,2020-05-25,Omicron,0
Indonesia,2020-06-08,Alpha,0
Indonesia,2020-06-08,Beta,0
Indonesia,2020-06-08,Gamma,0
Indonesia,2020-06-08,Mu,0
Indonesia,2020-06-08,Omicron,0
Indonesia,2020-06-22,Alpha,0
Indonesia,2020-06-22,Beta,0
Indonesia,2020-06-22,Gamma,0
Indonesia,2020-06-22,Mu,0
Indonesia,2020-06-22,Omicron,0
Indonesia,2020-07-06,Alpha,0
Indonesia,2020-07-06,Beta,0
Indonesia,2020-07-06,Gamma,0
Indonesia,2020-07-06,Mu,0
Indonesia,2020-07-06,Omicron,0
Indonesia,2020-07-20,Alpha,0
Indonesia,2020-07-20,Beta,0
Indonesia,2020-07-20,Gamma,0
Indonesia,2020-07-20,Mu,0
Indonesia,2020-07-20,Omicron,0
Indonesia,2020-08-03,Alpha,0
Indonesia,2020-08-03,Beta,0
Indonesia,2020-08-03,Gamma,0
Indonesia,2020-08-03,Mu,0
Indonesia,2020-08-03,Omicron,0
Indonesia,2020-08-17,Alpha,0
Indonesia,2020-08-17,Beta,0
Indonesia,2020-08-17,Gamma,0
Indonesia,2020-08-17,Mu,0
Indonesia,2020-08-17,Omicron,0
Indonesia,2020-08-31,Alpha,0
Indonesia,2020-08-31,Beta,0
Indonesia,2020-08-31,Gamma,0
Indonesia,2020-08-31,Mu,0
Indonesia,2020-08-31,Omicron,0
Indonesia,2020-09-14,Alpha,0
Indonesia,2020-09-14,Beta,0
Indonesia,2020-09-14,Gamma,0
Indonesia,2020-09-14,Mu,0
Indonesia,2020-09-14,Omicron,0
Indonesia,2020-09-28,Alpha,0
Indonesia,2020-09-28,Beta,0
Indonesia,2020-09-28,Gamma,0
Indonesia,2020-09-28,Mu,0
Indonesia,2020-09-28,Omicron,0
Indonesia,2020-10-12,Alpha,0
Indonesia,2020-10-12,Beta,0
Indonesia,2020-10-12,Gamma,0
Indonesia,2020-10-12,Mu,0
Indonesia,2020-10-12,Omicron,0
Indonesia,2020-10-26,Alpha,0
Indonesia,2020-10-26,Beta,0
Indonesia,2020-10-26,Gamma,0
Indonesia,2020-10-26,Mu,0
Indonesia,2020-10-26,Omicron,0
Indonesia,2020-11-09,Alpha,0
Indonesia,2020-11-09,Beta,0
Indonesia,2020-11-09,Gamma,0
Indonesia,2020-11-09,Mu,0
Indonesia,2020-11-09,Omicron,0
Indonesia,2020-11-23,Alpha,0
Indonesia,2020-11-23,Beta,0
Indonesia,2020-11-23,Gamma,0
Indonesia,2020-11-23,Mu,0
Indonesia,2020-11-23,Omicron,0
Indonesia,2020-12-07,Alpha,0
Indonesia,2020-12-07,Beta,0
Indonesia,2020-12-07,Gamma,0
Indonesia,2020-12-07,Mu,0
Indonesia,2020-12-07,Omicron,0
Indonesia,2020-12-21,Alpha,0
Indonesia,2020-12-21,Beta,0
Indonesia,2020-12-21,Gamma,0
Indonesia,2020-12-21,Mu,0
Indonesia,2020-12-21,Omicron,0
Indonesia,2021-01-04,Alpha,0
Indonesia,2021-01-04,Beta,0
Indonesia,2021-01-04,Gamma,0
Indonesia,2021-01-04,Mu,0
Indonesia,2021-01-04,Omicron,0
Indonesia,2021-01-11,Alpha,2
Indonesia,2021-01-11,Beta,0
Indonesia,2021-01-11,Gamma,0
Indonesia,2021-01-11,Mu,0
Indonesia,2021-01-11,Omicron,0
Indonesia,2021-01-25,Alpha,0
Indonesia,2021-01-25,Beta,0
Indonesia,2021-01-25,Gamma,0
Indonesia,2021-01-25,Mu,0
Indonesia,2021-01-25,Omicron,0
Indonesia,2021-02-08,Alpha,4
Indonesia,2021-02-08,Beta,2
Indonesia,2021-02-08,Gamma,0
Indonesia,2021-02-08,Mu,0
Indonesia,2021-02-08,Omicron,0
Indonesia,2021-02-22,Alpha,3
Indonesia,2021-02-22,Beta,0
Indonesia,2021-02-22,Gamma,0
Indonesia,2021-02-22,Mu,0
Indonesia,2021-02-22,Omicron,0
Indonesia,2021-03-08,Alpha,3
Indonesia,2021-03-08,Beta,0
Indonesia,2021-03-08,Gamma,0
Indonesia,2021-03-08,Mu,0
Indonesia,2021-03-08,Omicron,0
Indonesia,2021-03-22,Alpha,2
Indonesia,2021-03-22,Beta,1
Indonesia,2021-03-22,Gamma,0
Indonesia,2021-03-22,Mu,0
Indonesia,2021-03-22,Omicron,0
Indonesia,2021-04-05,Alpha,2
Indonesia,2021-04-05,Beta,1
Indonesia,2021-04-05,Gamma,0
Indonesia,2021-04-05,Mu,0
Indonesia,2021-04-05,Omicron,0
Indonesia,2021-04-19,Alpha,2
Indonesia,2021-04-19,Beta,1
Indonesia,2021-04-19,Gamma,0
Indonesia,2021-04-19,Mu,0
Indonesia,2021-04-19,Omicron,0
Indonesia,2021-05-03,Alpha,16
Indonesia,2021-05-03,Beta,1
Indonesia,2021-05-03,Gamma,0
Indonesia,2021-05-03,Mu,0
Indonesia,2021-05-03,Omicron,0
Indonesia,2021-05-17,Alpha,15
Indonesia,2021-05-17,Beta,11
Indonesia,2021-05-17,Gamma,0
Indonesia,2021-05-17,Mu,0
Indonesia,2021-05-17,Omicron,0
Indonesia,2021-05-31,Alpha,19
Indonesia,2021-05-31,Beta,4
Indonesia,2021-05-31,Gamma,0
